nbRelations, relationArity, nbConstraints, constraintSize, visibleRelations, initialSchemaSize, finalSchemaSize, time (ms)
1000, 8, 500, 10, 0.9, 893, 933, 83
1000, 8, 500, 10, 0.9, 883, 943, 58
1000, 8, 500, 10, 0.9, 900, 960, 59
1000, 8, 500, 10, 0.9, 892, 942, 66
1000, 8, 500, 10, 0.9, 909, 959, 58
1000, 8, 500, 10, 0.9, 902, 952, 40
1000, 8, 500, 10, 0.9, 905, 945, 42
1000, 8, 500, 10, 0.9, 910, 960, 41
1000, 8, 500, 10, 0.9, 898, 948, 39
1000, 8, 500, 10, 0.9, 891, 941, 36
1000, 8, 500, 10, 0.9, 905, 955, 44
1000, 8, 500, 10, 0.9, 877, 937, 45
1000, 8, 500, 10, 0.9, 888, 948, 41
1000, 8, 500, 10, 0.9, 900, 950, 38
1000, 8, 500, 10, 0.9, 891, 951, 41
1000, 8, 500, 10, 0.9, 899, 959, 41
1000, 8, 500, 10, 0.9, 883, 943, 40
1000, 8, 500, 10, 0.9, 909, 959, 41
1000, 8, 500, 10, 0.9, 904, 954, 40
1000, 8, 500, 10, 0.9, 901, 951, 40
1000, 8, 500, 10, 0.9, 904, 944, 40
1000, 8, 500, 10, 0.9, 908, 948, 37
1000, 8, 500, 10, 0.9, 904, 954, 40
1000, 8, 500, 10, 0.9, 907, 947, 37
1000, 8, 500, 10, 0.9, 901, 951, 39
1000, 8, 500, 10, 0.9, 895, 955, 40
1000, 8, 500, 10, 0.9, 905, 945, 39
1000, 8, 500, 10, 0.9, 879, 939, 46
1000, 8, 500, 10, 0.9, 900, 940, 38
1000, 8, 500, 10, 0.9, 902, 952, 37
1000, 8, 500, 10, 0.9, 899, 949, 37
1000, 8, 500, 10, 0.9, 924, 964, 38
1000, 8, 500, 10, 0.9, 904, 964, 47
1000, 8, 500, 10, 0.9, 909, 959, 47
1000, 8, 500, 10, 0.9, 910, 950, 38
1000, 8, 500, 10, 0.9, 901, 941, 37
1000, 8, 500, 10, 0.9, 894, 944, 38
1000, 8, 500, 10, 0.9, 890, 940, 37
1000, 8, 500, 10, 0.9, 907, 957, 38
1000, 8, 500, 10, 0.9, 892, 942, 37
1000, 8, 500, 10, 0.9, 915, 965, 41
1000, 8, 500, 10, 0.9, 897, 947, 37
1000, 8, 500, 10, 0.9, 915, 965, 39
1000, 8, 500, 10, 0.9, 890, 930, 38
1000, 8, 500, 10, 0.9, 902, 942, 41
1000, 8, 500, 10, 0.9, 887, 957, 38
1000, 8, 500, 10, 0.9, 900, 950, 39
1000, 8, 500, 10, 0.9, 892, 942, 38
1000, 8, 500, 10, 0.9, 890, 950, 38
1000, 8, 500, 10, 0.9, 902, 952, 40
1000, 8, 500, 10, 0.9, 899, 939, 39
1000, 8, 500, 10, 0.9, 913, 953, 39
1000, 8, 500, 10, 0.9, 911, 961, 39
1000, 8, 500, 10, 0.9, 904, 954, 43
1000, 8, 500, 10, 0.9, 893, 943, 42
1000, 8, 500, 10, 0.9, 876, 926, 40
1000, 8, 500, 10, 0.9, 909, 959, 45
1000, 8, 500, 10, 0.9, 894, 944, 40
1000, 8, 500, 10, 0.9, 892, 942, 48
1000, 8, 500, 10, 0.9, 900, 950, 44
1000, 8, 500, 10, 0.9, 899, 949, 38
1000, 8, 500, 10, 0.9, 891, 941, 38
1000, 8, 500, 10, 0.9, 909, 959, 39
1000, 8, 500, 10, 0.9, 881, 931, 42
1000, 8, 500, 10, 0.9, 906, 956, 40
1000, 8, 500, 10, 0.9, 897, 947, 38
1000, 8, 500, 10, 0.9, 900, 950, 38
1000, 8, 500, 10, 0.9, 896, 936, 36
1000, 8, 500, 10, 0.9, 917, 957, 37
1000, 8, 500, 10, 0.9, 905, 965, 37
1000, 8, 500, 10, 0.9, 907, 957, 39
1000, 8, 500, 10, 0.9, 921, 961, 38
1000, 8, 500, 10, 0.9, 892, 932, 39
1000, 8, 500, 10, 0.9, 893, 943, 37
1000, 8, 500, 10, 0.9, 907, 957, 39
1000, 8, 500, 10, 0.9, 898, 938, 37
1000, 8, 500, 10, 0.9, 895, 945, 39
1000, 8, 500, 10, 0.9, 910, 950, 37
1000, 8, 500, 10, 0.9, 892, 952, 39
1000, 8, 500, 10, 0.9, 892, 942, 40
1000, 8, 500, 10, 0.9, 910, 950, 38
1000, 8, 500, 10, 0.9, 914, 954, 37
1000, 8, 500, 10, 0.9, 883, 923, 38
1000, 8, 500, 10, 0.9, 894, 944, 37
1000, 8, 500, 10, 0.9, 904, 944, 39
1000, 8, 500, 10, 0.9, 913, 953, 38
1000, 8, 500, 10, 0.9, 892, 942, 39
1000, 8, 500, 10, 0.9, 902, 952, 40
1000, 8, 500, 10, 0.9, 891, 941, 39
1000, 8, 500, 10, 0.9, 898, 938, 37
1000, 8, 500, 10, 0.9, 877, 937, 38
1000, 8, 500, 10, 0.9, 881, 941, 39
1000, 8, 500, 10, 0.9, 887, 937, 38
1000, 8, 500, 10, 0.9, 918, 958, 38
1000, 8, 500, 10, 0.9, 926, 976, 39
1000, 8, 500, 10, 0.9, 900, 950, 38
1000, 8, 500, 10, 0.9, 891, 951, 37
1000, 8, 500, 10, 0.9, 892, 942, 38
1000, 8, 500, 10, 0.9, 907, 947, 39
1000, 8, 500, 10, 0.9, 910, 960, 38
