nbRelations, relationArity, nbConstraints, constraintSize, visibleRelations, nbKeyConstraints, initialSchemaSize, finalSchemaSize, time (ms), nbCycles, biggestCycle
200, 8, 20, 1, 0.5, 81, 99, 545, 1023, 5, 3
200, 8, 20, 1, 0.5, 81, 99, 138, 2, 0, 0
200, 8, 20, 1, 0.5, 81, 103, 138, 2, 0, 0
200, 8, 20, 1, 0.5, 81, 97, 1025, 10154, 3, 1
200, 8, 20, 1, 0.5, 81, 99, 136, 2, 3, 1
200, 8, 20, 1, 0.5, 81, 99, 374, 623, 2, 1
200, 8, 20, 1, 0.5, 81, 104, 159, 3, 1, 1
200, 8, 20, 1, 0.5, 81, 98, 485, 1200, 1, 1
200, 8, 20, 1, 0.5, 81, 95, 147, 2, 2, 0
200, 8, 20, 1, 0.5, 81, 99, 160, 4, 2, 0
