nbRelations, relationArity, nbConstraints, constraintSize, visibleRelations, nbKeyConstraints, initialSchemaSize, finalSchemaSize, time (ms)
50, 2, 20, 1, 0.5, 20, 23, 41, 7
50, 2, 20, 1, 0.5, 20, 24, 39, 1
50, 2, 20, 1, 0.5, 20, 21, 41, 3
50, 2, 20, 1, 0.5, 20, 21, 38, 2
50, 2, 20, 1, 0.5, 20, 26, 45, 2
50, 2, 20, 1, 0.5, 20, 26, 45, 3
50, 2, 20, 1, 0.5, 20, 19, 32, 1
50, 2, 20, 1, 0.5, 20, 24, 38, 0
50, 2, 20, 1, 0.5, 20, 33, 55, 1
50, 2, 20, 1, 0.5, 20, 21, 38, 0
50, 2, 20, 1, 0.5, 20, 27, 43, 1
50, 2, 20, 1, 0.5, 20, 22, 34, 1
50, 2, 20, 1, 0.5, 20, 30, 97, 11
50, 2, 20, 1, 0.5, 20, 25, 47, 1
50, 2, 20, 1, 0.5, 20, 20, 35, 1
50, 2, 20, 1, 0.5, 20, 26, 43, 1
50, 2, 20, 1, 0.5, 20, 26, 84, 50
50, 2, 20, 1, 0.5, 20, 25, 62, 2
50, 2, 20, 1, 0.5, 20, 23, 47, 1
50, 2, 20, 1, 0.5, 20, 24, 163, 82
